id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
360,https://www.airbnb.com/rooms/360,20250929230429,2025-09-30,city scrape,Denver’s Peaceful Oasis for Travel Nurses & Nomads,"Enjoy the famous Colorado weather and unplug in indoor & outdoor living. Our charming cottage has a serene ambiance throughout every area. <br />Spend a sunny afternoon out in the garden hammock or garden parlor sofa, pr sink into the shared hot tub.<br />We are located next to downtown and in the neighborhood of lower highlands, <br />Superb coffee shops, restaurants, microbrews, distilleries, dispensaries & downtown. We are 420 outdoors only. LGBT Friendly, allergy-free, fragrance-free & pet-free.","The cottage is located in the center of Lower Highlands (LOHI) next to the Navajo Street Arts District. Catch a show at the iconic Bug Theater. Wandering the neighborhood to discover breweries, distilleries and bars for local drinks, tuck into a family owned taqueria or explore more formal dinning experience. We are a vibrant neighborhood in Denver where you can see and do but just a quick walk thru the park to downtown, or a mile drive to RiNo. We are just 2.5 mile walk or dirve to Meow Wolf.",https://a0.muscache.com/pictures/monet/Select-360/original/acb0aaaf-38db-44d0-bdb2-71c054963529,666,https://www.airbnb.com/users/show/666,Jennifer,2008-07-08,"Denver, CO","We are artists and tinkerers.
 
We enjoy many activities here in Denver -  cooking, growing fruits and vegetables are some that we get to do here at the cottages along with mixed media projects and furniture building. 

We are always up to some new outdoor project when the Colorado weather permits and hunker down inside by the fire in the winter keeping our hands busy with knitting, card making or some other project we can dream up.   In fact the most recent outdoor project is for an outdoor parlor that will be winter friendly. 

Giovanni and I have grown in our collaborations and embrace our age and abilities  for self governance in employment - Giovanni had moved into documentaries and I have been spending more time in the commercial film community. 

We have been in the lower highlands for over a decade now and have marveled in the changing landscape and exciting times for new restaurants, breweries and galleries.  We still love to take advantage of the great walks thru the neighborhood and down by the river as often as we can. 
",within an hour,100%,99%,t,https://a0.muscache.com/im/users/666/profile_pic/1259092920/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/666/profile_pic/1259092920/original.jpg?aki_policy=profile_x_medium,Highland,3,4,"['email', 'phone']",t,f,Neighborhood highlights,Highland,,39.766414642333984,-105.0020980834961,Entire guesthouse,Entire home/apt,2,1.0,1 bath,2,2,"[""Heating"", ""Fire pit"", ""Free dryer \u2013 In unit"", ""Courtyard view"", ""Dishes and silverware"", ""Hot water kettle"", ""Room-darkening shades"", ""Central air conditioning"", ""Shared patio or balcony"", ""Cooking basics"", ""Hair dryer"", ""Shared backyard \u2013 Fully fenced"", ""Outdoor dining area"", ""Wifi \u2013 36 Mbps"", ""Microwave"", ""Coffee maker: espresso machine"", ""Ceiling fan"", ""Hangers"", ""Avalon Organics Revitalizing Lavender Shampoo shampoo"", ""Essentials"", ""BBQ grill"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Refrigerator"", ""Bed linens"", ""Hammock"", ""Body soap"", ""Smoke alarm"", ""Dining table"", ""Shared hot tub"", ""Luggage dropoff allowed"", ""Bathtub"", ""Kitchen"", ""TV with Hulu, HBO Max, Netflix, Roku"", ""Stainless steel gas stove"", ""Dedicated workspace"", ""Oven"", ""Single level home"", ""Free washer \u2013 In unit"", ""Iron"", ""Exterior security cameras on property"", ""Self check-in"", ""Long term stays allowed"", ""Keypad"", ""Free street parking"", ""First aid kit"", ""Board games"", ""Outdoor furniture""]",$139.00,29,364,29,29,364,364,29.0,364.0,,t,0,0,0,120,2025-09-30,186,3,0,0,3,174,24186,2018-08-13,2025-08-18,4.98,4.97,4.95,4.99,4.99,4.98,4.9,2017-BFN-0002177,f,2,2,0,0,2.14
364,https://www.airbnb.com/rooms/364,20250929230429,2025-09-30,city scrape,Lodo / RiNo LOFT  via airport train,"Modern 1,000 square foot loft in the heart of RiNo, the hottest neighborhood in Denver right now.  Breweries, coffee shops, restaurants - all close. The 500 sq ft. patio has panoramic views of the Rockies.  3 blocks away from airport train stop.","Ten brewpubs within walking distance, two great restaurants within two blocks and dozens more restaurants/bars/coffee shops within 4-5 blocks.   It's close to downtown without all the traffic & congestion.",https://a0.muscache.com/pictures/11766413/a2c5aaaf_original.jpg,783,https://www.airbnb.com/users/show/783,Jason,2008-07-11,"Denver, CO","I travel pretty frequently, I spend a lot of time in the mountains of Colorado and San Diego.",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/783/profile_pic/1410556181/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/783/profile_pic/1410556181/original.jpg?aki_policy=profile_x_medium,Five Points,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Five Points,,39.76672,-104.97906,Entire loft,Entire home/apt,3,1.5,1.5 baths,1,1,"[""Heating"", ""Dryer"", ""Pets allowed"", ""Hair dryer"", ""Washer"", ""Free parking on premises"", ""Wifi"", ""Hangers"", ""TV with standard cable"", ""Essentials"", ""Shampoo"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Indoor fireplace"", ""Smoke alarm"", ""Kitchen"", ""Dedicated workspace"", ""Iron"", ""Breakfast"", ""First aid kit"", ""Air conditioning""]",$213.00,185,365,185,185,365,365,185.0,365.0,,t,23,53,83,358,2025-09-30,87,0,0,86,0,0,0,2009-05-18,2016-04-26,4.85,4.78,4.81,4.95,4.96,4.65,4.71,,f,1,1,0,0,0.44
592,https://www.airbnb.com/rooms/592,20250929230429,2025-09-30,city scrape,private,"This room is in the basement.  It does not have its own entrance, but is fairly private.   Please read the full room description (esp. hearing footsteps above.)  I want my guests to be happy and have no surprises.  Also, please have some info in your Airbnb profile.",,https://a0.muscache.com/pictures/ba522ff9-84c9-40a4-b4eb-61073b2b3d5f.jpg,933,https://www.airbnb.com/users/show/933,Jill,2008-07-21,"Denver, CO","I am friendly and I love meeting people from all over the world.   I have received guests from over 33 different countries so far, in 14 years of being an Airbnb host.  I'm easy going and easy to get along with.  Staying with me can be like staying with a friend of a friend, in that I am glad to try to take care of your needs, and give you pointers about Denver, or also happy to leave you alone and grant you all the privacy you want (tell me.)  I have no pets, but occasionally I dog sit for my grandpuppy.  I speak French well, Spanish so so, and I remember a bit of German. 

As a traveler, I love to go places, stay a while, and interact with locals.  I love using Airbnb to travel and like to stay with hosts who also live in the property.  I enjoy just walking around, getting a feel for a city, trying its foods, meeting people and visiting museums (more than only just seeing the big tourist attractions.)  I think I am adaptable and an easy and appreciative guest.   I love to speak French, practice my Spanish and even try to resurrect my long-forgotten German.  I always like to try to learn to say at least please and thank you in the language of any place I visit.  

",within an hour,100%,93%,t,https://a0.muscache.com/im/users/933/profile_pic/1321124670/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/933/profile_pic/1321124670/original.jpg?aki_policy=profile_x_medium,North Park Hill,2,3,"['email', 'phone']",t,t,,North Park Hill,,39.75481,-104.91106,Private room in home,Private room,2,1.0,1 shared bath,1,1,"[""Heating"", ""Dryer"", ""TV with Netflix"", ""Dishes and silverware"", ""Cooking basics"", ""Hair dryer"", ""Microwave"", ""Washer"", ""Free parking on premises"", ""Dishwasher"", ""Wifi"", ""Hangers"", ""Host greets you"", ""Essentials"", ""Shampoo"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Refrigerator"", ""Indoor fireplace"", ""Smoke alarm"", ""Patio or balcony"", ""Private backyard \u2013 Fully fenced"", ""Kitchen"", ""Oven"", ""Dedicated workspace"", ""Iron"", ""Coffee maker"", ""Free street parking"", ""Children\u2019s books and toys"", ""Air conditioning"", ""Lock on bedroom door"", ""Hot water"", ""Stove""]",$46.00,2,365,2,2,365,365,2.0,365.0,,t,12,40,56,232,2025-09-30,201,25,4,56,11,175,8050,2009-02-21,2025-09-14,4.89,4.8,4.61,4.95,4.95,4.84,4.88,2021-BFN-0000578,f,1,0,1,0,0.99
686,https://www.airbnb.com/rooms/686,20250929230429,2025-09-30,city scrape,Alexandra's Queen Bed Room Long-term Rental Only,"Thanks for visiting my Queen Bed Room for LONG-TERM rental! (31 nights minimum stay, at $1,250 per month) Extra guest is $5/night.<br /><br />This bright room is on the main floor. Bathroom is nearby, not adjoining, and is shared. Guest will have a key; so no curfew. No other guests are permitted without pre-approval. Parking is available on street, with my parking permit. The location is SUPERB for all Downtown and Midtown activities.","I love my Uptown neighborhood, which is within 2 to 3 miles of just about everything there is to do in Central Denver. There are four grocery stores, from the basic to the natural to the gourmet, in easy reach. There are a number of liquor and fine wine stores, multiple coffee shops and Internet cafes, Denver's many beautiful parks, and numbers of great and some renowned restaurants and eateries for breakfast, brunch, lunch, tea, dinner, and dessert. Churches, many beautiful and historical, abound, and many offer some of the most beautiful music and the most interesting services and dialogues around. Shopping opportunities, too, are many and varied, from the adjacent Downtown area, to nearby Cherry Creek Shopping Center and Cherry Creek North, to various outlet malls and stores further afield. Good antique and flea market venues are found throughout the Denver Metro area. Entertainment venues are close by. They include sports venues for the Denver Broncos, Nuggets, Outlaws, and Barbari",https://a0.muscache.com/pictures/108112/e6d5d3f8_original.jpg,990,https://www.airbnb.com/users/show/990,Alexandra,2008-07-23,"Denver, CO","Denver native, former teacher, musician, chaplain.  Spent 4 years in Bolivia and speak Spanish.  I love my home and its location so close to everything.  My neighborhood keeps growing upscale, but my home remains surprisingly quiet!  My single family home is a true oasis in the city. 

Seven wonderful grandchildren and their parents make my life a blessing. 

I have really enjoyed welcoming and getting to know my guests from all over the world and the USA, and look forward to many more!",within a few hours,100%,80%,t,https://a0.muscache.com/im/pictures/user/c7c053dd-da41-4415-8331-c87978d7510c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c7c053dd-da41-4415-8331-c87978d7510c.jpg?aki_policy=profile_x_medium,North Capitol Hill,1,4,"['email', 'phone']",t,t,Neighborhood highlights,North Capitol Hill,,39.74695,-104.97838,Private room in home,Private room,1,1.0,1 private bath,1,2,"[""Heating"", ""Dryer"", ""Dishes and silverware"", ""Shared patio or balcony"", ""Cooking basics"", ""Hair dryer"", ""Microwave"", ""Washer"", ""Dishwasher"", ""Wifi"", ""Hangers"", ""Host greets you"", ""Essentials"", ""Mini fridge"", ""Piano"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Refrigerator"", ""Bed linens"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Baking sheet"", ""Kitchen"", ""Oven"", ""Dedicated workspace"", ""Iron"", ""Backyard"", ""Long term stays allowed"", ""Coffee maker"", ""Free street parking"", ""First aid kit"", ""Air conditioning"", ""Hot water"", ""Stove""]",$40.00,30,120,30,30,120,120,30.0,120.0,,t,15,45,75,164,2025-09-30,252,2,0,78,0,120,4800,2008-08-28,2025-05-14,4.77,4.75,4.8,4.86,4.91,4.87,4.82,,f,1,0,1,0,1.21
1940,https://www.airbnb.com/rooms/1940,20250929230429,2025-09-29,city scrape,Baker Studio: Private-full kitchen-W/D-walkable,"Private studio with separate entrance in historic neighborhood. Great for a few nights or months! Less than 10 min drive to Denver Health Medical Center, downtown, Broncos Stadium, Ball Arena, Performing Arts, Coors Field.  Walkable to breweries, coffee shops, restaurants, SoBo, and Santa Fe Arts District.  One block to the Moss and two  blocks to the Space Gallery (wedding venues).  Easy access to major freeways and RTD.  Fast WiFi, fully equipped kitchen, washer/dryer, easy street parking.","Walking through the Baker historical neighborhood you will find a little bit of everything -- grand Victorian houses, quaint duplexes, small single-story homes, and newly-built condos.  It's an easy walk to restaurants, coffee shops, breweries, the shops and Mayan theater on Broadway, and the Santa Fe Arts District with gallery openings the first Friday of each month.",https://a0.muscache.com/pictures/miso/Hosting-1940/original/1617fc5b-cccb-4661-8a8c-744043ae172b.jpeg,2150,https://www.airbnb.com/users/show/2150,Joanne,2008-08-16,"Denver, CO","I've had the good fortune to travel to many countries.  I always appreciate staying in a homey place.  I hope you'll enjoy my place as a home away from home.  Just let me know me know if you need anything during your stay.  Please let me know about when you expect to arrive, and if you know already, about what time you plan to check out.  Enjoy your journey!",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/User/original/3b9c503e-27c1-459d-8388-807e3686f936.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/3b9c503e-27c1-459d-8388-807e3686f936.jpeg?aki_policy=profile_x_medium,Baker,9,11,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Baker,,39.72020510811656,-104.99749898910522,Entire guesthouse,Entire home/apt,2,1.0,1 bath,0,1,"[""Heating"", ""Free dryer \u2013 In unit"", ""Dishes and silverware"", ""Coffee"", ""Shower gel"", ""Pets allowed"", ""Hot water kettle"", ""Blender"", ""Smart lock"", ""Central air conditioning"", ""Rice maker"", ""Cooking basics"", ""Hair dryer"", ""Shared patio or balcony"", ""Outdoor dining area"", ""Microwave"", ""Wine glasses"", ""Dishwasher"", ""Freezer"", ""Ceiling fan"", ""Hangers"", ""Essentials"", ""Shampoo"", ""BBQ grill"", ""50 inch HDTV with Roku"", ""Carbon monoxide alarm"", ""Drying rack for clothing"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Refrigerator"", ""Bed linens"", ""Cleaning products"", ""Body soap"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Barbecue utensils"", ""Baking sheet"", ""Kitchen"", ""Private backyard \u2013 Fully fenced"", ""Toaster"", ""Conditioner"", ""Dedicated workspace"", ""Oven"", ""Free washer \u2013 In unit"", ""Iron"", ""Portable fans"", ""Gas stove"", ""Self check-in"", ""Coffee maker"", ""Free street parking"", ""Baby safety gates"", ""First aid kit"", ""Fast wifi \u2013 331 Mbps"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Private entrance"", ""Hot water"", ""Outdoor furniture""]",$87.00,1,29,1,4,1125,1125,2.7,1125.0,,t,13,43,73,348,2025-09-29,244,44,4,77,57,255,22185,2017-01-24,2025-09-27,4.97,4.96,4.98,4.98,4.98,4.89,4.9,2018-BFN-0002596,f,2,2,0,0,2.31
31503,https://www.airbnb.com/rooms/31503,20250929230429,2025-09-30,city scrape,Highland Park Guest House,HIGHLAND PARK GUEST HOUSE,,https://a0.muscache.com/pictures/ecd97638-3f98-46d6-8e53-5e9b05c8903b.jpg,135298,https://www.airbnb.com/users/show/135298,Rick,2010-05-30,"Denver, CO","We are world travelers that enjoy community based lodging options in lieu of the typical tourist type accommodation.
In addition, we own an in home guest house as a way of providing a similar option to like minded individuals visiting Denver, Colorado.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/aaea96f4-75cf-4feb-88e9-24cb1ee6b165.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/aaea96f4-75cf-4feb-88e9-24cb1ee6b165.jpg?aki_policy=profile_x_medium,West Highland,1,1,"['email', 'phone']",t,t,,West Highland,,39.76179,-105.02845,Entire guest suite,Entire home/apt,2,1.0,1 bath,1,1,"[""Dryer"", ""Dishes and silverware"", ""Hot water kettle"", ""Room-darkening shades"", ""Shared backyard \u2013 Fully fenced"", ""Hair dryer"", ""Microwave"", ""Clothing storage: walk-in closet"", ""Wine glasses"", ""Freezer"", ""Hangers"", ""Essentials"", ""Shampoo"", ""Free driveway parking on premises \u2013 1 space"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Bed linens"", ""Smoke alarm"", ""Dining table"", ""Coffee maker: pour-over coffee"", ""Luggage dropoff allowed"", ""Bathtub"", ""Free washer \u2013 In building"", ""Toaster"", ""Radiant heating"", ""Dedicated workspace"", ""Iron"", ""Portable fans"", ""Exterior security cameras on property"", ""Self check-in"", ""48 inch HDTV with premium cable, Roku"", ""Long term stays allowed"", ""Keypad"", ""Free street parking"", ""Private entrance"", ""Cleaning available during stay"", ""Hot water"", ""LG refrigerator"", ""Fast wifi \u2013 474 Mbps""]",$77.00,4,730,4,4,1125,1125,4.0,1125.0,,t,14,33,53,324,2025-09-30,191,15,1,53,11,120,9240,2010-09-10,2025-09-08,4.9,4.91,4.98,4.95,4.97,4.89,4.87,2020-BFN-0000193,f,1,1,0,0,1.04
39405,https://www.airbnb.com/rooms/39405,20250929230429,2025-09-30,city scrape,LoHi Secret Garden at Mulberry at Denver Cottages,"Enjoy our oasis in the city and stay at one of the founding Airbnb rentals.  <br />We love to enjoy the famous Colorado weather and believe in indoor & outdoor living.  We are located next to downtown and in the revitalized neighborhood of lower highlands.<br />Short walks to coffee shops, restaurants & microbrews, dispensary, Bug Theater & downtown. <br />We are 420 (outdoors only), LBGTQ friendly, allergy-free, fragrance-free & pet-free. UVC w/ Ozone sterilization.",For those who are interested in our local brews - we are within walking distance to three new breweries as well as a short drive to several other breweries. <br /><br />**We are in an up-and-coming neighborhood & construction going on everywhere around us as well as all-around in Denver. Please be advised that there can be building sounds sometimes. <br />  <br /><br />there is some history behind the cottages - <br />they were built in the 1890s and used to belong to a horse and carriage business that shuttled workers down to Union Station. our neighborhood has always been a working-class neighborhood starting with the Italians and then has welcomed many other waves of immigrants.  <br /><br />The Lower Highlands district is a thriving area due to the of proximity and the number of attractions that you can walk or bike to.<br /><br />Bike paths are plentiful and you could tour the whole city on them.   <br />you can rent a bike with a swipe of your credit card- Denver has a bike renta,https://a0.muscache.com/pictures/c1686c33-4efa-4010-9c60-38ee01d76514.jpg,666,https://www.airbnb.com/users/show/666,Jennifer,2008-07-08,"Denver, CO","We are artists and tinkerers.
 
We enjoy many activities here in Denver -  cooking, growing fruits and vegetables are some that we get to do here at the cottages along with mixed media projects and furniture building. 

We are always up to some new outdoor project when the Colorado weather permits and hunker down inside by the fire in the winter keeping our hands busy with knitting, card making or some other project we can dream up.   In fact the most recent outdoor project is for an outdoor parlor that will be winter friendly. 

Giovanni and I have grown in our collaborations and embrace our age and abilities  for self governance in employment - Giovanni had moved into documentaries and I have been spending more time in the commercial film community. 

We have been in the lower highlands for over a decade now and have marveled in the changing landscape and exciting times for new restaurants, breweries and galleries.  We still love to take advantage of the great walks thru the neighborhood and down by the river as often as we can. 
",within an hour,100%,99%,t,https://a0.muscache.com/im/users/666/profile_pic/1259092920/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/666/profile_pic/1259092920/original.jpg?aki_policy=profile_x_medium,Highland,3,4,"['email', 'phone']",t,f,Neighborhood highlights,Highland,,39.76605337851223,-105.00307815462764,Entire cottage,Entire home/apt,2,1.0,1 bath,1,1,"[""Heating"", ""Fire pit"", ""Dishes and silverware"", ""Shower gel"", ""Shared patio or balcony"", ""Shared backyard \u2013 Fully fenced"", ""Cooking basics"", ""Hair dryer"", ""Outdoor dining area"", ""Fast wifi \u2013 93 Mbps"", ""Microwave"", ""Hangers"", ""32 inch TV with Apple TV, HBO Max, Hulu, Netflix, Roku"", ""Essentials"", ""Shampoo"", ""BBQ grill"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Extra pillows and blankets"", ""Refrigerator"", ""Bed linens"", ""Hammock"", ""Smoke alarm"", ""Shared hot tub"", ""Luggage dropoff allowed"", ""Kitchen"", ""Oven"", ""Dedicated workspace"", ""Single level home"", ""Iron"", ""Portable fans"", ""Gas stove"", ""Exterior security cameras on property"", ""Window AC unit"", ""Self check-in"", ""Keypad"", ""Coffee maker"", ""Free street parking"", ""Private entrance"", ""Board games"", ""Hot water"", ""Outdoor furniture""]",$140.00,2,60,2,2,30,60,2.0,59.3,,t,18,36,66,156,2025-09-30,771,57,4,69,50,255,35700,2010-08-08,2025-09-28,4.93,4.89,4.94,4.98,4.98,4.86,4.86,2022-BFN-0010458,f,2,2,0,0,4.18
90307,https://www.airbnb.com/rooms/90307,20250929230429,2025-09-30,city scrape,Comfy King Bed (Park Hill),"A private guest room and bathroom are located on the main floor, back of the house, in a quiet neighbourhood. You have full access to the kitchen (well stocked) and living room with fireplace. The porch and backyard deck have furniture and can be enjoyed anytime.<br /><br />Pets and I live upstairs and only pass through the kitchen when leaving the house.",Coffee/bakery market and restaurant are all at the end of the street (50 feet).  Enjoy their patio or bring back to the house.,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6OTAzMDc%3D/original/fe615dd1-7a09-4764-94ed-de3eec182da8.jpeg,489506,https://www.airbnb.com/users/show/489506,Doreen,2011-04-06,"Denver, CO","I like to think of myself as easy-going and flexible. I love traveling, meeting new people, exploring different parts of the world, and emerging into the culture.
 ",within an hour,100%,100%,t,https://a0.muscache.com/im/users/489506/profile_pic/1316191761/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/489506/profile_pic/1316191761/original.jpg?aki_policy=profile_x_medium,North Park Hill,4,4,"['email', 'phone']",t,f,Neighborhood highlights,South Park Hill,,39.7495,-104.93362,Private room in home,Private room,2,1.0,1 private bath,1,1,"[""Heating"", ""Dishes and silverware"", ""Coffee"", ""Pets allowed"", ""Shower gel"", ""Coffee maker: drip coffee maker, french press, pour-over coffee"", ""Hot water kettle"", ""Room-darkening shades"", ""Blender"", ""Private patio or balcony"", ""Cooking basics"", ""Hair dryer"", ""Microwave"", ""Wine glasses"", ""Free parking on premises"", ""Dishwasher"", ""Freezer"", ""Ceiling fan"", ""Wifi"", ""Hangers"", ""Essentials"", ""Shampoo"", ""Sound system"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Refrigerator"", ""Bed linens"", ""Cleaning products"", ""Body soap"", ""Indoor fireplace"", ""Smoke alarm"", ""Dining table"", ""Luggage dropoff allowed"", ""Bathtub"", ""Baking sheet"", ""Kitchen"", ""Private backyard \u2013 Fully fenced"", ""Toaster"", ""Conditioner"", ""Dedicated workspace"", ""Oven"", ""Single level home"", ""Iron"", ""Portable fans"", ""Self check-in"", ""Laundromat nearby"", ""Long term stays allowed"", ""Keypad"", ""Free street parking"", ""Clothing storage"", ""Air conditioning"", ""Hot water"", ""Outdoor furniture"", ""Stove""]",$90.00,1,95,1,1,1125,1125,1.0,1125.0,,t,0,28,50,210,2025-09-30,303,19,0,50,14,133,11970,2012-01-03,2025-07-16,4.93,4.91,4.95,4.98,4.97,4.93,4.93,2023-BFN-0046364,t,3,1,2,0,1.81
154999,https://www.airbnb.com/rooms/154999,20250929230429,2025-09-30,city scrape,Midland Lofts 209: In the Heart of Downtown,"This condo is right in the heart of Downtown Denver in the Central Business District. Just one block away is the 16th Street Mall with Free Shuttle and Denver Pavilions (shopping mall, movie theater, restaurants/bars, bowling alley, etc). Colorado Convention Center, Denver Center for the Performing Arts, shops, bars, clubs, and restaurants, and lightrail station are all within steps. There can't be enough said for the location! No need for a car but Uber/Lyft, scooters and e-bikes are near.",,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTU0OTk5/original/24a2531c-da59-4979-a5b3-1853a50f0488.jpeg,460083844,https://www.airbnb.com/users/show/460083844,Susan,2022-05-20,"Denver, CO","",within a few hours,90%,72%,t,https://a0.muscache.com/im/pictures/user/User/original/aa77b0c6-63bd-409f-bd0f-ac715c7a2b96.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/aa77b0c6-63bd-409f-bd0f-ac715c7a2b96.jpeg?aki_policy=profile_x_medium,Ballpark District,27,34,"['email', 'phone']",t,t,,CBD,,39.74439,-104.98927,Entire condo,Entire home/apt,2,1.0,1 bath,1,1,"[""Dishes and silverware"", ""Room-darkening shades"", ""Central air conditioning"", ""Cooking basics"", ""Hair dryer"", ""Microwave"", ""Exercise equipment: elliptical, free weights, stationary bike, treadmill, yoga mat"", ""Wine glasses"", ""Dishwasher"", ""Freezer"", ""Ceiling fan"", ""Wifi"", ""Elevator"", ""Essentials"", ""Free dryer \u2013 In building"", ""TV with Chromecast"", ""Shared gym in building"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Refrigerator"", ""Bed linens"", ""Cleaning products"", ""Smoke alarm"", ""Central heating"", ""Bathtub"", ""Free washer \u2013 In building"", ""Baking sheet"", ""Kitchen"", ""Oven"", ""Dedicated workspace"", ""Single level home"", ""Paid parking lot off premises"", ""Iron"", ""Self check-in"", ""Long term stays allowed"", ""Ethernet connection"", ""Coffee maker"", ""Private entrance"", ""Hot water"", ""Building staff"", ""Stove""]",$102.00,30,1125,30,30,1125,1125,30.0,1125.0,,t,30,60,90,365,2025-09-30,14,2,0,93,2,120,12240,2011-08-04,2025-05-17,4.77,4.54,4.77,4.77,4.92,4.92,4.69,,f,26,26,0,0,0.08
192430,https://www.airbnb.com/rooms/192430,20250929230429,2025-09-30,city scrape,Treetop View Room East City Park 1-2 months,"Located in the desirable district neighborhood of east-central Denver,  lovely views and quiet surroundings.    City Park across 2 short blocks that includes Museum of Nature and Science & Zoo.<br />I share my home with an always sweet and friendly kitty who is hypoallergenic!  Shiloh is a mix of Siberian and Maine Coon . View him in my photos.",It's a established older neighborhood with lots of character.   Tree lined Parkways and boulevards featuring  large homes with historical architecture. <br />It's own charming small business districts.  Diverse culturally and has a feel of genuine community.,https://a0.muscache.com/pictures/miso/Hosting-192430/original/cd8a2dd2-0203-449e-a270-ddd6e01347de.jpeg,923646,https://www.airbnb.com/users/show/923646,Kate,2011-08-04,"Denver, CO","",within an hour,67%,71%,f,https://a0.muscache.com/im/pictures/user/User-923646/original/80bf7e99-ab14-4670-9182-6caaeca2a335.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-923646/original/80bf7e99-ab14-4670-9182-6caaeca2a335.jpeg?aki_policy=profile_x_medium,South Park Hill,1,1,"['email', 'phone']",t,t,Neighborhood highlights,South Park Hill,,39.7435,-104.93753,Private room in rental unit,Private room,1,1.0,1 shared bath,1,1,"[""Heating"", ""Dishes and silverware"", ""Hot water kettle"", ""Room-darkening shades"", ""Shared patio or balcony"", ""Cooking basics"", ""Hair dryer"", ""Hot water"", ""Microwave"", ""Wine glasses"", ""Free parking on premises"", ""Ceiling fan"", ""Wifi"", ""Sound system with aux"", ""Hangers"", ""Host greets you"", ""Essentials"", ""Books and reading material"", ""Carbon monoxide alarm"", ""Drying rack for clothing"", ""Paid dryer \u2013 In building"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Bed linens"", ""Cleaning products"", ""Refrigerator"", ""Smoke alarm"", ""Dining table"", ""Coffee maker: pour-over coffee"", ""Luggage dropoff allowed"", ""Bathtub"", ""Kitchen"", ""Toaster"", ""Shared backyard \u2013 Not fully fenced"", ""Oven"", ""Dedicated workspace"", ""Portable air conditioning"", ""Iron"", ""Portable fans"", ""Paid washer \u2013 In building"", ""Long term stays allowed"", ""Free street parking"", ""Clothing storage: closet and dresser"", ""43 inch HDTV with Amazon Prime Video, Roku"", ""Mountain view"", ""Outdoor furniture"", ""Stove""]",$36.00,29,58,29,29,58,58,29.0,58.0,,t,5,17,47,137,2025-09-30,133,1,1,50,3,58,2088,2011-08-22,2025-08-31,4.7,4.75,4.73,4.82,4.84,4.77,4.73,,f,1,0,1,0,0.77
